filename,model,participant_id,score
baseline_markov_0.mid,Markov Baseline,P01,4.0
baseline_markov_0.mid,Markov Baseline,P02,4.0
baseline_markov_0.mid,Markov Baseline,P03,4.0
baseline_markov_0.mid,Markov Baseline,P04,4.5
baseline_markov_0.mid,Markov Baseline,P05,3.5
baseline_markov_0.mid,Markov Baseline,P06,3.0
baseline_markov_0.mid,Markov Baseline,P07,4.0
baseline_markov_0.mid,Markov Baseline,P08,3.0
baseline_markov_0.mid,Markov Baseline,P09,4.0
baseline_markov_0.mid,Markov Baseline,P10,3.5
baseline_markov_1.mid,Markov Baseline,P01,3.5
baseline_markov_1.mid,Markov Baseline,P02,3.0
baseline_markov_1.mid,Markov Baseline,P03,4.0
baseline_markov_1.mid,Markov Baseline,P04,3.5
baseline_markov_1.mid,Markov Baseline,P05,3.0
baseline_markov_1.mid,Markov Baseline,P06,3.0
baseline_markov_1.mid,Markov Baseline,P07,3.5
baseline_markov_1.mid,Markov Baseline,P08,3.5
baseline_markov_1.mid,Markov Baseline,P09,3.5
baseline_markov_1.mid,Markov Baseline,P10,3.5
baseline_markov_2.mid,Markov Baseline,P01,5.0
baseline_markov_2.mid,Markov Baseline,P02,3.5
baseline_markov_2.mid,Markov Baseline,P03,4.0
baseline_markov_2.mid,Markov Baseline,P04,3.5
baseline_markov_2.mid,Markov Baseline,P05,4.0
baseline_markov_2.mid,Markov Baseline,P06,4.0
baseline_markov_2.mid,Markov Baseline,P07,4.0
baseline_markov_2.mid,Markov Baseline,P08,3.5
baseline_markov_2.mid,Markov Baseline,P09,3.5
baseline_markov_2.mid,Markov Baseline,P10,4.0
baseline_markov_3.mid,Markov Baseline,P01,4.0
baseline_markov_3.mid,Markov Baseline,P02,4.0
baseline_markov_3.mid,Markov Baseline,P03,3.5
baseline_markov_3.mid,Markov Baseline,P04,4.0
baseline_markov_3.mid,Markov Baseline,P05,3.5
baseline_markov_3.mid,Markov Baseline,P06,3.5
baseline_markov_3.mid,Markov Baseline,P07,4.0
baseline_markov_3.mid,Markov Baseline,P08,4.0
baseline_markov_3.mid,Markov Baseline,P09,4.0
baseline_markov_3.mid,Markov Baseline,P10,4.0
baseline_markov_4.mid,Markov Baseline,P01,4.0
baseline_markov_4.mid,Markov Baseline,P02,4.0
baseline_markov_4.mid,Markov Baseline,P03,3.5
baseline_markov_4.mid,Markov Baseline,P04,4.0
baseline_markov_4.mid,Markov Baseline,P05,3.5
baseline_markov_4.mid,Markov Baseline,P06,3.5
baseline_markov_4.mid,Markov Baseline,P07,4.0
baseline_markov_4.mid,Markov Baseline,P08,4.5
baseline_markov_4.mid,Markov Baseline,P09,3.5
baseline_markov_4.mid,Markov Baseline,P10,4.0
baseline_random_0.mid,Random Baseline,P01,2.5
baseline_random_0.mid,Random Baseline,P02,3.0
baseline_random_0.mid,Random Baseline,P03,3.5
baseline_random_0.mid,Random Baseline,P04,3.5
baseline_random_0.mid,Random Baseline,P05,3.0
baseline_random_0.mid,Random Baseline,P06,3.5
baseline_random_0.mid,Random Baseline,P07,3.0
baseline_random_0.mid,Random Baseline,P08,3.0
baseline_random_0.mid,Random Baseline,P09,3.5
baseline_random_0.mid,Random Baseline,P10,3.0
baseline_random_1.mid,Random Baseline,P01,3.0
baseline_random_1.mid,Random Baseline,P02,2.5
baseline_random_1.mid,Random Baseline,P03,3.0
baseline_random_1.mid,Random Baseline,P04,3.5
baseline_random_1.mid,Random Baseline,P05,3.0
baseline_random_1.mid,Random Baseline,P06,3.5
baseline_random_1.mid,Random Baseline,P07,3.0
baseline_random_1.mid,Random Baseline,P08,3.5
baseline_random_1.mid,Random Baseline,P09,3.5
baseline_random_1.mid,Random Baseline,P10,3.0
baseline_random_2.mid,Random Baseline,P01,3.5
baseline_random_2.mid,Random Baseline,P02,3.0
baseline_random_2.mid,Random Baseline,P03,3.0
baseline_random_2.mid,Random Baseline,P04,3.0
baseline_random_2.mid,Random Baseline,P05,2.5
baseline_random_2.mid,Random Baseline,P06,3.0
baseline_random_2.mid,Random Baseline,P07,3.0
baseline_random_2.mid,Random Baseline,P08,3.0
baseline_random_2.mid,Random Baseline,P09,3.5
baseline_random_2.mid,Random Baseline,P10,3.5
baseline_random_3.mid,Random Baseline,P01,3.5
